"Path","Bytes","Coverage","TodoOrStubMarkers","HistoricalRouteMarkers"
".agents/skills/drive-quick/SKILL.md","3530","Inventory only unless separately cited","",""
".agents/skills/drive-workflow/SKILL.md","5717","Inventory only unless separately cited","",""
".agents/skills/google-drive/SKILL.md","13227","Inventory only unless separately cited","",""
".agents/skills/google-drive/gdrive.cjs","6704","Inventory only unless separately cited","",""
".agents/skills/google-drive/gdrive.ps1","3663","Inventory only unless separately cited","",""
".agents/skills/google-drive/troubleshooting.md","4151","Inventory only unless separately cited","",""
".agents/skills/paddle-billing-history/SKILL.md","16983","Inventory only unless separately cited","",""
".agents/skills/paddle-catalog-setup/SKILL.md","15920","Inventory only unless separately cited","",""
".agents/skills/paddle-checkout-web/SKILL.md","15229","Inventory only unless separately cited","",""
".agents/skills/paddle-customer-portal/SKILL.md","13634","Inventory only unless separately cited","",""
".agents/skills/paddle-pricing-pages/SKILL.md","14876","Inventory only unless separately cited","",""
".agents/skills/paddle-sandbox-testing/SKILL.md","13074","Inventory only unless separately cited","",""
".agents/skills/paddle-subscription-cancel/SKILL.md","9989","Inventory only unless separately cited","",""
".agents/skills/paddle-subscription-sync/SKILL.md","15626","Inventory only unless separately cited","",""
".agents/skills/paddle-subscription-update/SKILL.md","18365","Inventory only unless separately cited","",""
".agents/skills/paddle-webhooks/SKILL.md","19659","Inventory only unless separately cited","",""
".claude/launch.json","324","Inventory only unless separately cited","",""
".env.example","6604","Inventory only unless separately cited","",""
".eslintrc.json","99","Inventory only unless separately cited","",""
".gitattributes","686","Inventory only unless separately cited","",""
".github/workflows/backup.yml","4563","Text pattern scan; deeper inspection only where cited in report","0","0"
".github/workflows/ci.yml","1328","Text pattern scan; deeper inspection only where cited in report","0","0"
".github/workflows/deploy-preview.yml","1646","Text pattern scan; deeper inspection only where cited in report","0","0"
".gitignore","1268","Inventory only unless separately cited","",""
".kilo/agent/code-reviewer.md","521","Inventory only unless separately cited","",""
".kilo/agent/researcher.md","627","Inventory only unless separately cited","",""
".kilo/command/explore.md","247","Inventory only unless separately cited","",""
".prettierignore","68","Inventory only unless separately cited","",""
".prettierrc.json","134","Inventory only unless separately cited","",""
"AGENTS.md","49282","Inventory only unless separately cited","",""
"CLAUDE.md","93282","Inventory only unless separately cited","",""
"LICENSE","1390","Inventory only unless separately cited","",""
"Planning/00-DECISION/01-VERDICT.md","17515","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/00-DECISION/02-DECISION-LOG.md","22980","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/00-DECISION/03-GATES-AND-KILL-CRITERIA.md","26989","Text pattern scan; deeper inspection only where cited in report","1","0"
"Planning/01-PHASE-0-BLOCKERS/01-CREDENTIAL-ROTATION.md","10069","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/01-PHASE-0-BLOCKERS/02-COLLABORATOR-POLICY.md","12620","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/01-PHASE-0-BLOCKERS/03-INDIVIDUAL-SELLER-SETUP.md","6862","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/01-PHASE-0-BLOCKERS/FOUNDER-IDENTITY-CHECKLIST.md","1815","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/01-PHASE-0-BLOCKERS/PADDLE-APPLICATION-DRAFT.md","3127","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/01-PHASE-0-BLOCKERS/SERVICE-ACCOUNTS-CHEATSHEET.md","5423","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/02-PHASE-1-FOUNDATION/01-ACCOUNTS-AND-SERVICES.md","14589","Text pattern scan; deeper inspection only where cited in report","1","0"
"Planning/02-PHASE-1-FOUNDATION/02-DOMAIN-AND-LEGAL-PAGES.md","14980","Text pattern scan; deeper inspection only where cited in report","1","0"
"Planning/02-PHASE-1-FOUNDATION/03-PAYMENTS-SETUP.md","23095","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/02-PHASE-1-FOUNDATION/04-REPO-AND-FIXTURE-CORPUS.md","15723","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/02-PHASE-1-FOUNDATION/05-COMMUNITY-PRESENCE.md","13020","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/01-BUILD-SEQUENCE.md","24636","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/02-BUILD-PLAN-AMENDMENTS.md","98566","Text pattern scan; deeper inspection only where cited in report","1","2"
"Planning/03-PHASE-2-BUILD/03-TECHNICAL-RISK-CONTROLS.md","38636","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/04-EVIDENCE-FIRST-HARDENING.md","30642","Text pattern scan; deeper inspection only where cited in report","1","0"
"Planning/03-PHASE-2-BUILD/05-CASE-OS-SPEC.md","17822","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/06-PREMIUM-UI-UX-SPEC.md","34234","Text pattern scan; deeper inspection only where cited in report","1","0"
"Planning/03-PHASE-2-BUILD/07-ACCESS-AND-CONTINUITY-SPEC.md","23764","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/08-WAVE-C-HANDOFF.md","8042","Text pattern scan; deeper inspection only where cited in report","0","2"
"Planning/03-PHASE-2-BUILD/09-MULTI-CASE-ARCHITECTURE-SPEC.md","9222","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/reference/2026-09-02-COMPETITOR-RECHECK.md","17114","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/reference/2026-09-02-POLICY-FACTCHECK.md","16041","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/03-PHASE-2-BUILD/reference/APPEALDECK_BUILD_PLAN_v1.0.md","64417","Text pattern scan; deeper inspection only where cited in report","1","0"
"Planning/04-BUILD/MCP-FUTURE-REFERENCE.md","9453","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/04-BUILD/MCP-ON-WINDOWS.md","7896","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/04-PHASE-3-LAUNCH/01-WEB-DECODER-LAUNCH.md","20991","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/04-PHASE-3-LAUNCH/02-CHROME-WEB-STORE-SUBMISSION.md","14996","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/04-PHASE-3-LAUNCH/03-DESIGN-PARTNER-BETA.md","20498","Text pattern scan; deeper inspection only where cited in report","0","0"
"Planning/04-PHASE-3-LAUNCH/04-LAUNCH-DAY-CHECKLIST.md","17980","Text pattern scan; deeper inspection only where cited in report","1","0"
"Planning/04-PHASE-3-LAUNCH/PUBLIC-POSTS-DRAFTS.md","2059","Text pattern scan; deeper inspection only where cited in report","0","0"
